property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",110,118579.54
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002217,-38.516796",114,241839.85
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002217,-38.516796",98,155713.66
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",83,134119.7
apartment,|Brasil|Bahia|Salvador|Engenho Velho da Federação|,Northeast,"-13.007612,-38.49474",102,190507.39
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",63,196592.39
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",80,99856.45
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",120,84253.88
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",115,115459.02
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",80,107657.74
apartment,|Brasil|Bahia|Salvador|Matatu|,Northeast,"-12.974552,-38.496819",80,92991.32
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.974552,-38.496819",70,87374.39
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,,83,171628.28
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-12.9857,-38.519516",143,202833.42
house,|Brasil|Bahia|Salvador|Praia do Flamengo|,Northeast,"-12.920561,-38.318233",140,106097.48
house,|Brasil|Bahia|Alagoinhas|,Northeast,"-12.12635,-38.40873",197,148224.42
apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",114,152905.19
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.007857,-38.498463",95,101416.71
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010818,-38.48336",90,109217.99
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.000164,-38.489021",152,327653.99
house,|Brasil|Bahia|Itaparica|,Northeast,"-12.905073,-38.684437",66,171628.28
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.98223,-38.43898",244,187230.85
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",206,374461.71
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002785,-38.519222",195,243400.11
house,|Brasil|Bahia|Lauro de Freitas|Ipitanga|,Northeast,"-12.852844,-38.32711",110,93615.42
apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",151,143543.65
house,|Brasil|Bahia|Lauro de Freitas|Ipitanga|,Northeast,,150,96735.94
apartment,|Brasil|Bahia|Salvador|Luís Anselmo|,Northeast,"-12.974986,-38.490906",125,90463.7
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",70,74892.34
apartment,|Brasil|Bahia|Salvador|Vitória|,Northeast,"-12.993533,-38.526047",184,374461.71
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009679,-38.486305",106,118579.54
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010818,-38.48336",92,82693.62
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",115,177869.31
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010534,-38.485542",78,96735.94
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",115,115459.02
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",71,84253.88
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.992462,-38.444553",59,113898.77
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",142,115146.97
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",82,81133.37
house,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",250,374461.71
apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",95,187230.85
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.00525,-38.516327",90,184110.34
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002785,-38.519222",215,374461.71
apartment,|Brasil|Bahia|Salvador|Parque Bela Vista|,Northeast,"-12.985579,-38.470348",54,92679.27
apartment,|Brasil|Bahia|Salvador|Parque Bela Vista|,Northeast,"-12.985591,-38.469273",78,134182.11
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009664,-38.486431",186,411471.01
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009679,-38.486305",220,343256.56
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",203,265243.71
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",114,202833.42
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",180,265243.71
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,,98,174748.79
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",235,165387.25
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",155,310491.16
